game_id,game_date,home_team,away_team,home_pts,away_pts,season,actual_spread,actual_total,home_rest_days,home_back_to_back,home_three_in_four,away_rest_days,away_back_to_back,away_three_in_four,travel_direction,long_travel,east_to_west,west_to_east,home_rolling_5g,away_rolling_5g,rolling_diff_5g,pred_spread_rolling_5g,home_rolling_10g,away_rolling_10g,rolling_diff_10g,pred_spread_rolling_10g,season_game_num,month,is_playoff
401359838,2021-10-20,New Orleans Pelicans,Philadelphia 76ers,97,117,2022,-20,214,,False,False,,False,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,11,10,0
401359839,2021-10-20,San Antonio Spurs,Orlando Magic,123,97,2022,26,220,,False,False,,False,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,12,10,0
401359841,2021-10-20,Portland Trail Blazers,Sacramento Kings,121,124,2022,-3,245,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,13,10,0
401358778,2021-10-21,Golden State Warriors,LA Clippers,115,113,2022,2,228,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,14,10,0
401359842,2021-10-21,Miami Heat,Milwaukee Bucks,137,95,2022,42,232,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,15,10,0
401358777,2021-10-21,Atlanta Hawks,Dallas Mavericks,113,87,2022,26,200,,False,False,,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,16,10,0
401359844,2021-10-22,Orlando Magic,New York Knicks,96,121,2022,-25,217,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,17,10,0
401359847,2021-10-22,Chicago Bulls,New Orleans Pelicans,128,112,2022,16,240,,False,False,,False,False,west_to_east,1,0,1,,,0.0,0.0,,,0.0,0.0,18,10,0
401359843,2021-10-22,Cleveland Cavaliers,Charlotte Hornets,112,123,2022,-11,235,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,19,10,0
401359845,2021-10-22,Washington Wizards,Indiana Pacers,135,134,2022,1,269,,False,False,1.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,20,10,0
401358779,2021-10-22,Philadelphia 76ers,Brooklyn Nets,109,114,2022,-5,223,,False,False,2.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,21,10,0
401359849,2021-10-22,Denver Nuggets,San Antonio Spurs,102,96,2022,6,198,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,22,10,0
401359850,2021-10-22,Sacramento Kings,Utah Jazz,101,110,2022,-9,211,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,23,10,0
401359846,2021-10-22,Boston Celtics,Toronto Raptors,83,115,2022,-32,198,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,24,10,0
401358780,2021-10-22,Los Angeles Lakers,Phoenix Suns,105,115,2022,-10,220,2.0,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,25,10,0
401359848,2021-10-22,Houston Rockets,Oklahoma City Thunder,124,91,2022,33,215,,False,False,1.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,26,10,0
401359852,2021-10-23,Indiana Pacers,Miami Heat,102,91,2022,11,193,,False,False,,False,False,same_region,0,0,0,-1.0,,-1.0,-0.5,-1.0,,-1.0,-0.5,27,10,0
401359857,2021-10-23,Portland Trail Blazers,Phoenix Suns,134,105,2022,29,239,2.0,False,False,0.0,True,False,same_region,0,0,0,,-1.0,1.0,0.5,,-1.0,1.0,0.5,28,10,0
401359851,2021-10-23,Cleveland Cavaliers,Atlanta Hawks,101,95,2022,6,196,0.0,True,False,,False,False,same_region,0,0,0,-11.0,,-11.0,-5.5,-11.0,,-11.0,-5.5,29,10,0
401359853,2021-10-23,Toronto Raptors,Dallas Mavericks,95,103,2022,-8,198,2.0,False,False,1.0,False,False,west_to_east,1,0,1,8.5,,8.5,4.25,8.5,,8.5,4.25,30,10,0
401359856,2021-10-23,San Antonio Spurs,Milwaukee Bucks,111,121,2022,-10,232,2.0,False,False,1.0,False,False,east_to_west,1,1,0,10.0,-9.5,19.5,9.75,10.0,-9.5,19.5,9.75,31,10,0
401359858,2021-10-23,LA Clippers,Memphis Grizzlies,114,120,2022,-6,234,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,32,10,0
401359854,2021-10-23,Chicago Bulls,Detroit Pistons,97,82,2022,15,179,0.0,True,False,,False,False,same_region,0,0,0,11.0,,11.0,5.5,11.0,,11.0,5.5,33,10,0
401359855,2021-10-23,Minnesota Timberwolves,New Orleans Pelicans,96,89,2022,7,185,2.0,False,False,0.0,True,False,same_region,0,0,0,,-18.0,18.0,9.0,,-18.0,18.0,9.0,34,10,0
401359860,2021-10-24,New York Knicks,Orlando Magic,104,110,2022,-6,214,3.0,False,False,3.0,False,False,same_region,0,0,0,14.5,-25.5,40.0,20.0,14.5,-25.5,40.0,20.0,35,10,0
401359859,2021-10-24,Brooklyn Nets,Charlotte Hornets,95,111,2022,-16,206,,False,False,1.0,False,False,same_region,0,0,0,-9.0,6.0,-15.0,-7.5,-9.0,6.0,-15.0,-7.5,36,10,0
401359864,2021-10-24,Los Angeles Lakers,Memphis Grizzlies,121,118,2022,3,239,1.0,False,False,0.0,True,False,same_region,0,0,0,-8.5,8.5,-17.0,-8.5,-8.5,8.5,-17.0,-8.5,37,10,0
401359863,2021-10-24,Sacramento Kings,Golden State Warriors,107,119,2022,-12,226,1.0,False,False,4.0,False,False,same_region,0,0,0,-3.0,4.5,-7.5,-3.75,-3.0,4.5,-7.5,-3.75,38,10,0
401359862,2021-10-24,Oklahoma City Thunder,Philadelphia 76ers,103,115,2022,-12,218,,False,False,3.0,False,False,east_to_west,1,1,0,-27.0,7.5,-34.5,-17.25,-27.0,7.5,-34.5,-17.25,39,10,0
401359861,2021-10-24,Houston Rockets,Boston Celtics,97,107,2022,-10,204,1.0,False,False,3.0,False,False,east_to_west,1,1,0,7.5,-18.0,25.5,12.75,7.5,-18.0,25.5,12.75,40,10,0
401359865,2021-10-25,Charlotte Hornets,Boston Celtics,129,140,2022,-11,269,4.0,False,False,0.0,True,False,same_region,0,0,0,9.333333333333334,-8.666666666666666,18.0,9.0,9.333333333333334,-8.666666666666666,18.0,9.0,41,10,0
401359866,2021-10-25,Indiana Pacers,Milwaukee Bucks,109,119,2022,-10,228,1.0,False,False,1.0,False,False,same_region,0,0,0,3.0,-3.0,6.0,3.0,3.0,-3.0,6.0,3.0,42,10,0
401359870,2021-10-25,Toronto Raptors,Chicago Bulls,108,111,2022,-3,219,1.0,False,False,4.0,False,False,same_region,0,0,0,3.0,12.333333333333334,-9.333333333333334,-4.666666666666667,3.0,12.333333333333334,-9.333333333333334,-4.666666666666667,43,10,0
401359868,2021-10-25,Brooklyn Nets,Washington Wizards,104,90,2022,14,194,0.0,True,False,4.0,False,False,same_region,0,0,0,-11.333333333333334,8.0,-19.333333333333336,-9.666666666666668,-11.333333333333334,8.0,-19.333333333333336,-9.666666666666668,44,10,0
401359871,2021-10-25,Minnesota Timberwolves,New Orleans Pelicans,98,107,2022,-9,205,1.0,False,False,1.0,False,True,same_region,0,0,0,12.5,-14.333333333333334,26.833333333333336,13.416666666666668,12.5,-14.333333333333334,26.833333333333336,13.416666666666668,45,10,0
401359869,2021-10-25,Miami Heat,Orlando Magic,107,90,2022,17,197,3.0,False,False,0.0,True,False,same_region,0,0,0,15.5,-15.0,30.5,15.25,15.5,-15.0,30.5,15.25,46,10,0
401359872,2021-10-25,Denver Nuggets,Cleveland Cavaliers,87,99,2022,-12,186,2.0,False,False,4.0,False,False,east_to_west,1,1,0,9.0,-5.333333333333333,14.333333333333332,7.166666666666666,9.0,-5.333333333333333,14.333333333333332,7.166666666666666,47,10,0
401359873,2021-10-25,LA Clippers,Portland Trail Blazers,116,86,2022,30,202,1.0,False,False,,False,False,same_region,0,0,0,-4.0,13.0,-17.0,-8.5,-4.0,13.0,-17.0,-8.5,48,10,0
401359867,2021-10-25,Atlanta Hawks,Detroit Pistons,122,104,2022,18,226,3.0,False,False,1.0,False,False,same_region,0,0,0,10.0,-10.5,20.5,10.25,10.0,-10.5,20.5,10.25,49,10,0
401359878,2021-10-26,Utah Jazz,Denver Nuggets,122,110,2022,12,232,5.0,False,False,5.0,False,False,same_region,0,0,0,15.0,2.0,13.0,6.5,15.0,2.0,13.0,6.5,50,10,0
401359877,2021-10-26,San Antonio Spurs,Los Angeles Lakers,121,125,2022,-4,246,2.0,False,False,,False,False,same_region,0,0,0,3.3333333333333335,-4.666666666666667,8.0,4.0,3.3333333333333335,-4.666666666666667,8.0,4.0,51,10,0
401359876,2021-10-26,Dallas Mavericks,Houston Rockets,116,106,2022,10,222,,False,False,5.0,False,False,same_region,0,0,0,-9.0,1.6666666666666667,-10.666666666666666,-5.333333333333333,-9.0,1.6666666666666667,-10.666666666666666,-5.333333333333333,52,10,0
401359875,2021-10-26,Oklahoma City Thunder,Golden State Warriors,98,106,2022,-8,204,1.0,False,False,1.0,False,False,same_region,0,0,0,-22.0,7.0,-29.0,-14.5,-22.0,7.0,-29.0,-14.5,53,10,0
401359874,2021-10-26,New York Knicks,Philadelphia 76ers,112,99,2022,13,211,1.0,False,False,1.0,False,False,same_region,0,0,0,7.666666666666667,9.0,-1.333333333333333,-0.6666666666666665,7.666666666666667,9.0,-1.333333333333333,-0.6666666666666665,54,10,0
401359880,2021-10-27,Boston Celtics,Washington Wizards,107,116,2022,-9,223,4.0,False,False,1.0,False,False,same_region,0,0,0,-3.75,0.6666666666666666,-4.416666666666667,-2.2083333333333335,-3.75,0.6666666666666666,-4.416666666666667,-2.2083333333333335,55,10,0
401359881,2021-10-27,Brooklyn Nets,Miami Heat,93,106,2022,-13,199,1.0,False,True,3.0,False,False,same_region,0,0,0,-5.0,16.0,-21.0,-10.5,-5.0,16.0,-21.0,-10.5,56,10,0
401359882,2021-10-27,Toronto Raptors,Indiana Pacers,118,100,2022,18,218,1.0,False,False,4.0,False,False,same_region,0,0,0,1.5,-0.25,1.75,0.875,1.5,-0.25,1.75,0.875,57,10,0
401359883,2021-10-27,New Orleans Pelicans,Atlanta Hawks,99,102,2022,-3,201,6.0,False,False,3.0,False,False,east_to_west,1,1,0,-8.5,12.666666666666666,-21.166666666666664,-10.583333333333332,-8.5,12.666666666666666,-21.166666666666664,-10.583333333333332,58,10,0
401359879,2021-10-27,Orlando Magic,Charlotte Hornets,111,120,2022,-9,231,4.0,False,False,2.0,False,False,same_region,0,0,0,-15.5,4.25,-19.75,-9.875,-15.5,4.25,-19.75,-9.875,59,10,0
401359885,2021-10-27,Oklahoma City Thunder,Los Angeles Lakers,123,115,2022,8,238,0.0,True,True,0.0,True,False,same_region,0,0,0,-18.5,-2.5,-16.0,-8.0,-18.5,-2.5,-16.0,-8.0,60,10,0
401359886,2021-10-27,Phoenix Suns,Sacramento Kings,107,110,2022,-3,217,6.0,False,False,6.0,False,False,same_region,0,0,0,-10.333333333333334,-6.0,-4.333333333333334,-2.166666666666667,-10.333333333333334,-6.0,-4.333333333333334,-2.166666666666667,61,10,0
401359887,2021-10-27,Portland Trail Blazers,Memphis Grizzlies,116,96,2022,20,212,3.0,False,False,2.0,False,False,same_region,0,0,0,-1.3333333333333333,4.666666666666667,-6.0,-3.0,-1.3333333333333333,4.666666666666667,-6.0,-3.0,62,10,0
401359884,2021-10-27,Milwaukee Bucks,Minnesota Timberwolves,108,113,2022,-5,221,7.0,False,False,,False,False,west_to_east,1,0,1,0.25,5.333333333333333,-5.083333333333333,-2.5416666666666665,0.25,5.333333333333333,-5.083333333333333,-2.5416666666666665,63,10,0
401359888,2021-10-27,LA Clippers,Cleveland Cavaliers,79,92,2022,-13,171,1.0,False,False,1.0,False,False,east_to_west,1,1,0,7.333333333333333,-1.0,8.333333333333332,4.166666666666666,7.333333333333333,-1.0,8.333333333333332,4.166666666666666,64,10,0
401359889,2021-10-28,Philadelphia 76ers,Detroit Pistons,110,102,2022,8,212,5.0,False,False,2.0,False,False,same_region,0,0,0,3.5,-13.0,16.5,8.25,3.5,-13.0,16.5,8.25,65,10,0
401359890,2021-10-28,Washington Wizards,Atlanta Hawks,122,111,2022,11,233,5.0,False,False,0.0,True,False,same_region,0,0,0,2.75,10.25,-7.5,-3.75,2.75,10.25,-7.5,-3.75,66,10,0
401359893,2021-10-28,Dallas Mavericks,San Antonio Spurs,104,99,2022,5,203,1.0,False,False,5.0,False,False,same_region,0,0,0,-2.6666666666666665,1.5,-4.166666666666666,-2.083333333333333,-2.6666666666666665,1.5,-4.166666666666666,-2.083333333333333,67,10,0
401359892,2021-10-28,Houston Rockets,Utah Jazz,91,122,2022,-31,213,3.0,False,False,5.0,False,False,same_region,0,0,0,-1.25,14.0,-15.25,-7.625,-1.25,14.0,-15.25,-7.625,68,10,0
401359894,2021-10-28,Golden State Warriors,Memphis Grizzlies,101,104,2022,-3,205,6.0,False,False,0.0,True,False,same_region,0,0,0,7.25,-1.5,8.75,4.375,7.25,-1.5,8.75,4.375,69,10,0
401359891,2021-10-28,Chicago Bulls,New York Knicks,103,104,2022,-1,207,4.0,False,False,5.0,False,False,same_region,0,0,0,10.0,9.0,1.0,0.5,10.0,9.0,1.0,0.5,70,10,0
401359897,2021-10-29,Miami Heat,Charlotte Hornets,114,99,2022,15,213,3.0,False,False,1.0,False,False,same_region,0,0,0,15.25,5.2,10.05,5.025,15.25,5.2,10.05,5.025,71,10,0
401359899,2021-10-29,Denver Nuggets,Dallas Mavericks,106,75,2022,31,181,3.0,False,False,5.0,False,False,same_region,0,0,0,-1.5,-0.75,-0.75,-0.375,-1.5,-0.75,-0.75,-0.375,72,10,0
401359898,2021-10-29,New Orleans Pelicans,Sacramento Kings,109,113,2022,-4,222,1.0,False,False,1.0,False,False,same_region,0,0,0,-7.4,-3.75,-3.6500000000000004,-1.8250000000000002,-7.4,-3.75,-3.6500000000000004,-1.8250000000000002,73,10,0
401359900,2021-10-29,Portland Trail Blazers,LA Clippers,111,92,2022,19,203,1.0,False,False,7.0,False,False,same_region,0,0,0,4.0,2.25,1.75,0.875,4.0,2.25,1.75,0.875,74,10,0
401359896,2021-10-29,Brooklyn Nets,Indiana Pacers,105,98,2022,7,203,1.0,False,False,1.0,False,False,same_region,0,0,0,-6.6,-3.8,-2.8,-1.4,-6.6,-3.8,-2.8,-1.4,75,10,0
401359895,2021-10-29,Toronto Raptors,Orlando Magic,110,109,2022,1,219,1.0,False,False,3.0,False,False,same_region,0,0,0,4.8,-14.2,19.0,9.5,4.8,-14.2,19.0,9.5,76,10,0
401359901,2021-10-29,Los Angeles Lakers,Cleveland Cavaliers,113,101,2022,12,214,4.0,False,False,1.0,False,False,east_to_west,1,1,0,-3.6,1.8,-5.4,-2.7,-3.6,1.8,-5.4,-2.7,77,10,0
401359903,2021-10-30,Detroit Pistons,Orlando Magic,110,103,2022,7,213,9.0,False,False,0.0,True,False,same_region,0,0,0,-11.75,-9.2,-2.5500000000000007,-1.2750000000000004,-11.75,-12.0,0.25,0.125,78,10,0
401359907,2021-10-30,Chicago Bulls,Utah Jazz,107,99,2022,8,206,1.0,False,False,1.0,False,False,west_to_east,1,0,1,7.8,18.25,-10.45,-5.225,7.8,18.25,-10.45,-5.225,79,10,0
401359906,2021-10-30,Philadelphia 76ers,Atlanta Hawks,122,94,2022,28,216,1.0,False,False,1.0,False,True,same_region,0,0,0,4.4,6.0,-1.5999999999999996,-0.7999999999999998,4.4,6.0,-1.5999999999999996,-0.7999999999999998,80,10,0
401359902,2021-10-30,Washington Wizards,Boston Celtics,115,112,2022,3,227,1.0,False,False,4.0,False,False,same_region,0,0,0,4.4,-4.8,9.2,4.6,4.4,-4.8,9.2,4.6,81,10,0
401359904,2021-10-30,New Orleans Pelicans,New York Knicks,117,123,2022,-6,240,0.0,True,True,1.0,False,False,east_to_west,1,1,0,-4.2,7.4,-11.600000000000001,-5.800000000000001,-6.833333333333333,7.4,-14.233333333333334,-7.116666666666667,82,10,0
401359909,2021-10-30,Milwaukee Bucks,San Antonio Spurs,93,102,2022,-9,195,2.0,False,False,1.0,False,False,west_to_east,1,0,1,-0.8,0.2,-1.0,-0.5,-0.8,0.2,-1.0,-0.5,83,10,0
401359911,2021-10-30,Minnesota Timberwolves,Denver Nuggets,91,93,2022,-2,184,4.0,False,False,3.0,False,False,same_region,0,0,0,5.25,5.0,0.25,0.125,5.25,5.0,0.25,0.125,84,10,0
401359912,2021-10-30,Phoenix Suns,Cleveland Cavaliers,101,92,2022,9,193,2.0,False,False,0.0,True,True,east_to_west,1,1,0,-8.5,1.6,-10.1,-5.05,-8.5,-0.5,-8.0,-4.0,85,10,0
401359908,2021-10-30,Memphis Grizzlies,Miami Heat,103,129,2022,-26,232,9.0,False,False,2.0,False,False,east_to_west,1,1,0,-0.6,15.2,-15.799999999999999,-7.8999999999999995,-0.6,15.2,-15.799999999999999,-7.8999999999999995,86,10,0
401359910,2021-10-30,Golden State Warriors,Oklahoma City Thunder,103,82,2022,21,185,1.0,False,False,7.0,False,False,same_region,0,0,0,5.2,-13.2,18.4,9.2,5.2,-13.2,18.4,9.2,87,10,0
401359905,2021-10-30,Indiana Pacers,Toronto Raptors,94,97,2022,-3,191,4.0,False,False,7.0,False,False,same_region,0,0,0,-5.0,8.0,-13.0,-6.5,-4.333333333333333,4.166666666666667,-8.5,-4.25,88,10,0
401359917,2021-10-31,Los Angeles Lakers,Houston Rockets,95,85,2022,10,180,1.0,False,False,4.0,False,False,same_region,0,0,0,0.2,-7.2,7.4,3.7,-1.0,-7.2,6.2,3.1,89,10,0
401359916,2021-10-31,Brooklyn Nets,Detroit Pistons,117,91,2022,26,208,1.0,False,False,2.0,False,False,same_region,0,0,0,-0.6,-8.0,7.4,3.7,-4.333333333333333,-8.0,3.666666666666667,1.8333333333333335,90,10,0
401359915,2021-10-31,Milwaukee Bucks,Utah Jazz,95,107,2022,-12,202,0.0,True,False,0.0,True,True,west_to_east,1,0,1,-7.2,13.0,-20.2,-10.1,-2.1666666666666665,13.0,-15.166666666666666,-7.583333333333333,91,10,0
401359914,2021-10-31,Charlotte Hornets,Portland Trail Blazers,125,113,2022,12,238,5.0,False,False,5.0,False,False,west_to_east,1,0,1,2.0,7.0,-5.0,-2.5,1.8333333333333333,7.0,-5.166666666666667,-2.5833333333333335,92,10,0
401359913,2021-10-31,Dallas Mavericks,Sacramento Kings,105,99,2022,6,204,2.0,False,False,1.0,False,False,same_region,0,0,0,-6.8,-2.2,-4.6,-2.3,-6.8,-2.2,-4.6,-2.3,93,10,0
401359921,2021-11-01,Atlanta Hawks,Washington Wizards,118,111,2022,7,229,6.0,False,False,4.0,False,False,same_region,0,0,0,-4.8,2.0,-6.8,-3.4,0.3333333333333333,4.166666666666667,-3.8333333333333335,-1.9166666666666667,94,11,0
401359919,2021-11-01,Indiana Pacers,San Antonio Spurs,131,118,2022,13,249,1.0,False,False,1.0,False,False,west_to_east,1,0,1,-5.4,-3.2,-2.2,-1.1,-4.142857142857143,1.6666666666666667,-5.80952380952381,-2.904761904761905,95,11,0
401359920,2021-11-01,Philadelphia 76ers,Portland Trail Blazers,113,103,2022,10,216,1.0,False,False,0.0,True,False,west_to_east,1,0,1,6.0,5.2,0.7999999999999998,0.3999999999999999,8.333333333333334,3.8333333333333335,4.5,2.25,96,11,0
401359925,2021-11-01,Minnesota Timberwolves,Orlando Magic,97,115,2022,-18,212,1.0,False,False,1.0,False,True,east_to_west,1,1,0,3.8,-5.6,9.399999999999999,4.699999999999999,3.8,-11.285714285714286,15.085714285714285,7.542857142857143,97,11,0
401359918,2021-11-01,Charlotte Hornets,Cleveland Cavaliers,110,113,2022,-3,223,0.0,True,False,1.0,False,True,same_region,0,0,0,2.2,2.0,0.20000000000000018,0.10000000000000009,3.2857142857142856,-1.7142857142857142,5.0,2.5,98,11,0
401359923,2021-11-01,New York Knicks,Toronto Raptors,104,113,2022,-9,217,5.0,False,False,1.0,False,False,same_region,0,0,0,7.8,2.2,5.6,2.8,7.166666666666667,4.0,3.166666666666667,1.5833333333333335,99,11,0
401359924,2021-11-01,Memphis Grizzlies,Denver Nuggets,106,97,2022,9,203,1.0,False,False,1.0,False,False,same_region,0,0,0,-8.0,3.0,-11.0,-5.5,-4.833333333333333,4.5,-9.333333333333332,-4.666666666666666,100,11,0
401359922,2021-11-01,Boston Celtics,Chicago Bulls,114,128,2022,-14,242,4.0,False,False,6.0,False,False,same_region,0,0,0,-4.6,8.2,-12.799999999999999,-6.3999999999999995,-4.5,7.833333333333333,-12.333333333333332,-6.166666666666666,101,11,0
401359926,2021-11-01,LA Clippers,Oklahoma City Thunder,99,94,2022,5,193,4.0,False,False,1.0,False,False,same_region,0,0,0,-2.0,-13.2,11.2,5.6,-2.0,-14.5,12.5,6.25,102,11,0
401359927,2021-11-02,Detroit Pistons,Milwaukee Bucks,89,117,2022,-28,206,2.0,False,False,7.0,False,False,same_region,0,0,0,-12.0,-1.2,-10.8,-5.4,-11.0,-3.5714285714285716,-7.428571428571429,-3.7142857142857144,103,11,0
401359928,2021-11-02,Dallas Mavericks,Miami Heat,110,125,2022,-15,235,1.0,False,False,2.0,False,False,east_to_west,1,1,0,-0.4,12.0,-12.4,-6.2,-4.666666666666667,17.0,-21.666666666666668,-10.833333333333334,104,11,0
401359930,2021-11-02,Phoenix Suns,New Orleans Pelicans,112,100,2022,12,212,2.0,False,False,7.0,False,False,same_region,0,0,0,-5.0,-2.2,-2.8,-1.4,-5.0,-6.714285714285714,1.7142857142857144,0.8571428571428572,105,11,0
401359929,2021-11-02,Utah Jazz,Sacramento Kings,119,113,2022,6,232,6.0,False,False,1.0,False,False,same_region,0,0,0,11.2,-4.0,15.2,7.6,12.833333333333334,-2.8333333333333335,15.666666666666668,7.833333333333334,106,11,0
401359931,2021-11-02,Los Angeles Lakers,Houston Rockets,119,117,2022,2,236,1.0,False,False,1.0,False,False,same_region,0,0,0,4.2,-5.6,9.8,4.9,0.5714285714285714,-7.666666666666667,8.238095238095239,4.1190476190476195,107,11,0
401359942,2021-11-03,Sacramento Kings,New Orleans Pelicans,112,99,2022,13,211,9.0,False,False,0.0,True,False,same_region,0,0,0,-3.4,-3.2,-0.19999999999999973,-0.09999999999999987,-3.2857142857142856,-7.375,4.089285714285714,2.044642857142857,108,11,0
401359932,2021-11-03,Cleveland Cavaliers,Portland Trail Blazers,107,104,2022,3,211,10.0,False,False,1.0,False,True,west_to_east,1,0,1,1.4,-2.6,4.0,2.0,-1.125,1.8571428571428572,-2.982142857142857,-1.4910714285714286,109,11,0
401359934,2021-11-03,Orlando Magic,Boston Celtics,79,92,2022,-13,171,6.0,False,False,3.0,False,False,same_region,0,0,0,-3.2,-1.0,-2.2,-1.1,-7.625,-5.857142857142857,-1.7678571428571432,-0.8839285714285716,110,11,0
401359936,2021-11-03,Washington Wizards,Toronto Raptors,100,109,2022,-9,209,3.0,False,False,1.0,False,False,same_region,0,0,0,0.4,5.6,-5.199999999999999,-2.5999999999999996,2.5714285714285716,4.625,-2.0535714285714284,-1.0267857142857142,111,11,0
401359941,2021-11-03,Golden State Warriors,Charlotte Hornets,114,92,2022,22,206,3.0,False,False,4.0,False,False,east_to_west,1,1,0,8.0,-1.6,9.6,4.8,7.833333333333333,2.5,5.333333333333333,2.6666666666666665,112,11,0
401359938,2021-11-03,Memphis Grizzlies,Denver Nuggets,108,106,2022,2,214,1.0,False,False,1.0,False,False,same_region,0,0,0,-7.4,0.0,-7.4,-3.7,-2.857142857142857,2.5714285714285716,-5.428571428571429,-2.7142857142857144,113,11,0
401359939,2021-11-03,Minnesota Timberwolves,LA Clippers,115,126,2022,-11,241,1.0,False,False,4.0,False,False,same_region,0,0,0,-3.4,-0.6,-2.8,-1.4,0.16666666666666666,-0.8333333333333334,1.0,0.5,114,11,0
401359940,2021-11-03,San Antonio Spurs,Dallas Mavericks,108,109,2022,-1,217,7.0,False,False,4.0,False,False,same_region,0,0,0,-4.6,-5.0,0.40000000000000036,0.20000000000000018,-0.42857142857142855,-6.142857142857143,5.714285714285714,2.857142857142857,115,11,0
401359935,2021-11-03,Philadelphia 76ers,Chicago Bulls,103,98,2022,5,201,1.0,False,False,1.0,False,False,same_region,0,0,0,9.0,7.8,1.2000000000000002,0.6000000000000001,8.571428571428571,8.714285714285714,-0.14285714285714235,-0.07142857142857117,116,11,0
401359933,2021-11-03,Indiana Pacers,New York Knicks,111,98,2022,13,209,1.0,False,False,3.0,False,False,same_region,0,0,0,-5.0,1.0,-6.0,-3.0,-2.0,4.857142857142857,-6.857142857142857,-3.4285714285714284,117,11,0
401359937,2021-11-03,Brooklyn Nets,Atlanta Hawks,117,108,2022,9,225,2.0,False,False,3.0,False,False,same_region,0,0,0,3.6,-2.2,5.800000000000001,2.9000000000000004,0.0,1.2857142857142858,-1.2857142857142858,-0.6428571428571429,118,11,0
401359947,2021-11-04,Los Angeles Lakers,Oklahoma City Thunder,104,107,2022,-3,211,1.0,False,False,2.0,False,False,same_region,0,0,0,4.0,-7.6,11.6,5.8,0.75,-13.142857142857142,13.892857142857142,6.946428571428571,119,11,0
401359946,2021-11-04,Phoenix Suns,Houston Rockets,123,111,2022,12,234,1.0,False,False,1.0,False,False,same_region,0,0,0,-0.2,-12.6,12.4,6.2,-2.1666666666666665,-6.857142857142857,4.69047619047619,2.345238095238095,120,11,0
